date	artist	song
4/13/74	Elton John	Bennie And The Jets
4/6/74	Blue Swede	Hooked On A Feeling
3/30/74	John Denver	Sunshine On My Shoulders
3/23/74	Cher	Dark Lady
3/16/74	Terry Jacks	Seasons In The Sun
3/9/74	Terry Jacks	Seasons In The Sun
3/2/74	Terry Jacks	Seasons In The Sun
2/23/74	Barbra Streisand	The Way We Were
2/16/74	Barbra Streisand	The Way We Were
2/9/74	Love Unlimited Orchestra	Love's Theme
2/2/74	Barbra Streisand	The Way We Were
1/26/74	Ringo Starr	You're Sixteen
1/19/74	Al Wilson	Show And Tell
1/12/74	The Steve Miller Band	The Joker
